customer_id,onboarding_date,onboarding_channel,customer_segment,region,is_active,primary_branch_id
1,2022-10-11,branch,mass,West,True,9.0
2,2023-08-06,branch,affluent,North,True,14.0
3,2024-04-07,branch,affluent,West,True,15.0
4,2022-11-10,branch,affluent,West,True,19.0
5,2021-04-07,branch,affluent,North,True,8.0
6,2025-04-17,branch,SME,North,True,15.0
7,2025-09-24,branch,mass,West,True,8.0
8,2021-12-13,branch,mass,North,True,4.0
9,2023-08-02,branch,mass,East,True,6.0
10,2022-08-04,digital,mass,South,True,
11,2021-04-24,digital,mass,East,True,
12,2023-06-05,digital,mass,South,True,
13,2024-07-01,digital,mass,South,True,
14,2021-09-04,digital,mass,West,True,
15,2021-07-07,digital,SME,South,False,
16,2021-09-01,digital,mass,East,True,
17,2025-02-06,branch,mass,West,True,3.0
18,2021-06-13,branch,affluent,North,True,13.0
19,2023-04-18,branch,affluent,East,False,6.0
20,2021-08-09,digital,mass,West,True,
21,2022-04-11,digital,mass,South,True,
22,2025-11-30,branch,mass,East,True,4.0
23,2022-07-23,branch,mass,South,True,22.0
24,2021-08-26,branch,mass,West,True,18.0
25,2025-04-07,branch,mass,West,True,11.0
26,2022-05-22,digital,mass,North,True,
27,2022-07-26,digital,mass,North,True,
28,2021-07-25,digital,mass,East,False,
29,2025-05-20,branch,SME,North,False,2.0
30,2023-04-11,branch,SME,South,True,1.0
31,2021-11-07,branch,mass,South,True,24.0
32,2025-10-12,digital,mass,North,True,
33,2024-12-23,branch,mass,North,True,17.0
34,2022-03-09,branch,mass,North,True,7.0
35,2025-10-15,branch,mass,East,True,7.0
36,2022-09-09,digital,mass,East,True,
37,2024-05-26,branch,mass,South,True,22.0
38,2023-05-18,branch,mass,East,False,24.0
39,2025-10-28,digital,mass,East,True,
40,2024-02-01,branch,mass,West,True,1.0
41,2024-01-07,digital,mass,South,True,
42,2024-02-02,branch,mass,South,False,1.0
43,2025-12-30,branch,mass,North,True,6.0
44,2025-01-23,digital,mass,West,True,
45,2021-12-26,branch,mass,North,True,25.0
46,2025-07-25,digital,mass,East,True,
47,2022-12-13,digital,mass,South,True,
48,2021-08-02,digital,mass,East,False,
49,2025-01-30,branch,mass,East,False,25.0
50,2021-05-24,branch,mass,West,True,5.0
51,2024-06-08,branch,mass,West,True,22.0
52,2022-01-13,branch,affluent,South,True,25.0
53,2024-11-23,branch,SME,South,True,2.0
54,2025-12-07,digital,SME,West,True,
55,2025-09-28,branch,mass,West,True,23.0
56,2025-11-05,branch,SME,West,True,3.0
57,2021-12-05,branch,mass,West,True,18.0
58,2025-10-25,digital,mass,South,True,
59,2024-06-03,branch,mass,South,True,8.0
60,2022-04-01,digital,affluent,East,True,
61,2025-02-22,branch,mass,East,True,2.0
62,2021-11-11,branch,affluent,East,True,2.0
63,2021-08-17,branch,mass,South,True,16.0
64,2024-12-18,branch,mass,North,True,7.0
65,2021-05-09,branch,mass,East,True,4.0
66,2025-01-10,branch,mass,North,True,5.0
67,2021-05-17,digital,mass,North,True,
68,2024-09-01,branch,mass,North,True,22.0
69,2025-03-25,branch,mass,West,True,10.0
70,2022-09-03,branch,mass,South,True,13.0
71,2021-09-03,branch,mass,South,True,24.0
72,2025-04-10,branch,affluent,East,False,15.0
73,2025-07-23,branch,mass,East,True,1.0
74,2021-05-02,branch,mass,South,True,18.0
75,2023-03-21,branch,mass,West,True,23.0
76,2024-10-31,branch,mass,South,True,14.0
77,2025-02-23,digital,SME,North,True,
78,2025-03-13,digital,affluent,South,True,
79,2021-04-17,branch,mass,West,True,22.0
80,2022-05-17,digital,mass,South,True,
81,2025-01-29,branch,affluent,South,True,12.0
82,2023-10-27,digital,affluent,South,False,
83,2023-07-23,branch,affluent,North,True,7.0
84,2022-04-28,branch,affluent,East,True,24.0
85,2025-06-23,branch,mass,West,True,13.0
86,2021-09-22,digital,mass,North,True,
87,2022-08-04,digital,mass,South,False,
88,2023-11-13,branch,mass,South,True,21.0
89,2021-05-07,branch,mass,East,True,7.0
90,2022-04-25,branch,mass,East,True,18.0
91,2022-10-18,branch,mass,East,True,15.0
92,2021-09-11,branch,mass,North,True,8.0
93,2022-04-23,branch,mass,West,True,20.0
94,2023-09-08,branch,mass,East,True,16.0
95,2023-07-24,digital,mass,South,True,
96,2022-03-27,branch,affluent,West,True,3.0
97,2021-02-03,digital,affluent,South,True,
98,2021-10-11,branch,mass,South,False,9.0
99,2022-12-27,digital,mass,West,False,
100,2021-04-16,digital,mass,North,False,
101,2021-03-24,branch,mass,West,False,16.0
102,2024-08-06,branch,mass,East,True,16.0
103,2021-07-20,digital,mass,West,True,
104,2025-02-02,digital,affluent,East,True,
105,2025-04-22,branch,mass,East,True,19.0
106,2023-10-18,branch,mass,West,True,19.0
107,2023-05-11,digital,mass,West,True,
108,2022-06-05,digital,mass,East,False,
109,2024-11-12,branch,mass,South,True,13.0
110,2023-03-26,branch,affluent,West,True,15.0
111,2022-12-08,digital,mass,North,True,
112,2022-03-12,branch,mass,East,True,22.0
113,2024-09-24,branch,mass,South,True,10.0
114,2022-10-10,digital,mass,West,True,
115,2022-02-22,digital,mass,West,True,
116,2025-04-28,digital,mass,South,True,
117,2022-10-18,branch,mass,North,True,6.0
118,2021-03-12,branch,mass,East,True,12.0
119,2024-05-25,digital,affluent,West,False,
120,2025-12-25,branch,mass,North,True,6.0
121,2021-09-20,branch,mass,East,False,15.0
122,2023-06-06,digital,mass,North,True,
123,2022-08-07,branch,mass,East,True,19.0
124,2021-12-04,branch,mass,East,True,14.0
125,2025-10-23,digital,mass,North,True,
126,2026-01-10,digital,mass,East,True,
127,2023-07-22,branch,mass,West,True,10.0
128,2024-04-09,digital,mass,West,True,
129,2022-10-09,branch,mass,North,False,14.0
130,2022-03-19,branch,mass,North,True,22.0
131,2021-05-31,digital,affluent,East,False,
132,2024-03-23,digital,SME,East,True,
133,2021-03-14,digital,mass,North,True,
134,2025-07-14,branch,mass,South,True,22.0
135,2025-08-01,digital,affluent,North,True,
136,2022-07-20,digital,mass,South,True,
137,2022-03-10,digital,mass,South,True,
138,2021-09-15,digital,affluent,North,True,
139,2025-08-16,digital,mass,North,True,
140,2024-10-09,branch,SME,North,True,12.0
141,2021-04-06,branch,affluent,South,True,23.0
142,2021-02-17,digital,mass,West,False,
143,2023-08-29,digital,affluent,West,False,
144,2023-05-27,branch,mass,North,True,24.0
145,2021-03-15,branch,mass,North,True,17.0
146,2022-12-06,branch,affluent,East,True,1.0
147,2025-06-01,branch,mass,East,True,6.0
148,2025-07-17,digital,affluent,East,True,
149,2021-07-25,branch,affluent,North,True,15.0
150,2023-02-10,branch,SME,West,True,19.0
151,2024-02-01,branch,affluent,West,True,14.0
152,2025-08-10,branch,mass,North,False,10.0
153,2025-01-13,branch,mass,North,True,10.0
154,2023-11-09,digital,affluent,South,True,
155,2024-03-08,digital,mass,South,True,
156,2021-03-02,branch,mass,West,True,7.0
157,2025-06-23,branch,mass,East,True,14.0
158,2021-02-14,branch,affluent,West,True,15.0
159,2021-08-19,digital,affluent,South,True,
160,2025-11-18,branch,mass,West,True,20.0
161,2021-11-01,branch,mass,South,True,9.0
162,2023-08-11,digital,mass,South,True,
163,2025-04-04,branch,mass,East,True,9.0
164,2023-09-11,digital,mass,East,True,
165,2022-12-18,branch,mass,South,True,7.0
166,2023-06-22,branch,mass,North,True,24.0
167,2024-09-25,digital,mass,East,True,
168,2024-01-30,digital,mass,South,True,
169,2025-04-09,digital,mass,North,True,
170,2022-03-07,branch,SME,North,True,6.0
171,2025-05-17,branch,mass,West,True,7.0
172,2024-01-31,branch,mass,West,True,23.0
173,2021-02-02,digital,mass,East,True,
174,2022-08-30,branch,mass,North,True,23.0
175,2025-10-07,digital,mass,East,True,
176,2023-08-24,branch,mass,South,True,19.0
177,2024-06-15,branch,mass,East,True,22.0
178,2021-03-09,digital,mass,North,True,
179,2021-12-12,digital,affluent,West,False,
180,2025-06-15,digital,mass,East,True,
181,2025-06-15,branch,mass,West,True,6.0
182,2023-12-28,branch,affluent,East,True,4.0
183,2023-12-14,branch,mass,South,True,14.0
184,2021-06-26,digital,affluent,North,True,
185,2024-03-11,branch,SME,East,True,3.0
186,2024-09-15,branch,mass,South,True,17.0
187,2024-06-21,branch,SME,South,True,15.0
188,2025-01-18,branch,affluent,South,True,1.0
189,2025-10-01,branch,SME,West,True,21.0
190,2022-07-30,branch,mass,West,True,11.0
191,2025-09-19,branch,mass,South,True,13.0
192,2022-09-15,digital,affluent,South,False,
193,2021-02-18,digital,mass,East,True,
194,2023-02-15,branch,mass,East,True,13.0
195,2021-05-17,branch,mass,North,True,18.0
196,2022-03-06,digital,mass,East,True,
197,2022-04-16,branch,mass,North,True,9.0
198,2025-08-03,branch,affluent,North,True,25.0
199,2021-04-17,branch,SME,North,True,2.0
200,2023-07-13,branch,mass,West,True,8.0
201,2021-09-10,digital,SME,East,True,
202,2022-10-16,branch,SME,South,True,23.0
203,2023-05-07,digital,mass,North,True,
204,2025-01-15,branch,mass,South,False,1.0
205,2021-02-14,branch,affluent,North,False,24.0
206,2024-07-26,branch,mass,East,True,3.0
207,2025-03-23,branch,affluent,North,True,17.0
208,2022-07-11,digital,affluent,East,True,
209,2024-06-08,branch,mass,South,True,10.0
210,2021-01-27,branch,mass,East,True,19.0
211,2023-08-23,digital,mass,South,True,
212,2022-05-18,branch,mass,East,True,9.0
213,2025-12-25,branch,mass,North,True,18.0
214,2022-06-01,branch,affluent,North,True,15.0
215,2021-10-27,branch,mass,East,True,17.0
216,2021-03-02,digital,SME,South,True,
217,2021-08-29,branch,mass,South,False,22.0
218,2022-08-27,branch,affluent,South,True,17.0
219,2022-04-27,branch,mass,East,True,19.0
220,2024-08-07,digital,SME,East,True,
221,2023-05-19,branch,affluent,East,True,25.0
222,2023-09-19,branch,mass,East,True,6.0
223,2025-04-18,digital,SME,South,True,
224,2023-10-24,digital,mass,South,True,
225,2021-03-27,digital,mass,West,True,
226,2025-09-09,branch,mass,East,True,17.0
227,2025-10-13,branch,affluent,West,False,6.0
228,2025-10-13,branch,mass,East,True,13.0
229,2022-02-15,branch,mass,West,True,21.0
230,2021-07-15,branch,affluent,South,False,24.0
231,2022-03-25,digital,affluent,South,True,
232,2024-07-01,branch,mass,West,True,12.0
233,2023-03-25,digital,mass,North,True,
234,2024-08-29,branch,mass,East,True,6.0
235,2023-09-04,digital,affluent,West,True,
236,2022-08-06,branch,affluent,West,True,8.0
237,2025-02-19,branch,mass,North,True,6.0
238,2025-08-06,digital,mass,South,True,
239,2025-02-03,branch,mass,West,True,21.0
240,2025-12-12,branch,affluent,South,True,23.0
241,2023-08-01,digital,mass,East,True,
242,2022-05-19,digital,mass,North,True,
243,2021-09-16,branch,mass,South,True,16.0
244,2024-11-02,branch,mass,West,True,18.0
245,2024-12-16,branch,mass,North,True,19.0
246,2021-08-02,digital,mass,North,False,
247,2025-08-13,branch,SME,North,True,8.0
248,2023-03-19,branch,mass,North,True,21.0
249,2024-10-26,branch,mass,North,True,19.0
250,2022-04-27,branch,SME,East,True,1.0
251,2024-05-09,digital,mass,East,True,
252,2021-11-04,branch,mass,North,True,1.0
253,2025-02-01,digital,mass,West,False,
254,2022-12-18,branch,affluent,West,True,2.0
255,2025-02-09,branch,mass,East,True,21.0
256,2024-01-14,branch,affluent,South,True,3.0
257,2021-01-11,branch,mass,North,True,13.0
258,2023-11-27,digital,mass,West,True,
259,2022-07-16,digital,affluent,East,True,
260,2023-03-25,branch,SME,East,True,2.0
261,2021-09-06,digital,mass,South,True,
262,2024-01-20,branch,affluent,South,True,13.0
263,2023-01-07,digital,mass,West,True,
264,2022-12-31,branch,mass,South,True,1.0
265,2023-04-11,branch,mass,South,False,18.0
266,2021-10-05,branch,mass,North,True,5.0
267,2021-03-19,branch,mass,East,True,19.0
268,2025-11-05,branch,mass,East,True,10.0
269,2025-03-14,branch,mass,South,False,6.0
270,2023-07-29,branch,mass,East,True,18.0
271,2024-09-21,branch,SME,East,True,15.0
272,2024-10-03,digital,SME,West,False,
273,2022-04-19,branch,affluent,East,True,24.0
274,2021-05-09,branch,mass,South,True,16.0
275,2025-12-19,digital,mass,West,True,
276,2025-11-14,digital,affluent,East,True,
277,2023-10-04,branch,SME,East,True,21.0
278,2023-07-05,branch,mass,West,True,8.0
279,2021-05-22,digital,affluent,West,True,
280,2024-05-08,branch,SME,East,True,1.0
281,2021-12-14,digital,affluent,North,True,
282,2024-11-22,digital,mass,North,True,
283,2025-06-02,branch,mass,East,True,22.0
284,2023-06-20,branch,mass,East,True,13.0
285,2024-09-16,digital,mass,West,True,
286,2023-05-31,branch,mass,West,False,1.0
287,2025-07-19,branch,mass,East,True,15.0
288,2024-12-17,digital,affluent,East,True,
289,2025-11-04,digital,mass,East,True,
290,2021-07-14,digital,mass,East,True,
291,2024-09-08,digital,mass,North,True,
292,2026-01-09,digital,mass,West,True,
293,2023-11-06,digital,affluent,South,True,
294,2021-11-20,digital,mass,East,True,
295,2022-10-15,digital,affluent,East,True,
296,2024-03-18,branch,mass,East,True,19.0
297,2024-04-10,branch,mass,South,True,23.0
298,2022-12-26,digital,affluent,West,True,
299,2023-02-28,digital,mass,West,True,
300,2023-11-22,digital,mass,East,True,
301,2022-02-21,digital,mass,East,True,
302,2024-08-18,digital,mass,West,True,
303,2023-09-09,branch,mass,South,True,6.0
304,2024-05-15,branch,affluent,East,True,1.0
305,2025-01-24,branch,mass,South,True,9.0
306,2021-01-11,branch,SME,South,True,7.0
307,2024-09-20,branch,mass,West,True,22.0
308,2022-06-29,digital,mass,East,True,
309,2022-03-31,branch,mass,North,True,19.0
310,2025-04-06,digital,mass,West,True,
311,2023-06-05,branch,mass,West,True,1.0
312,2023-06-10,digital,mass,North,False,
313,2025-02-18,branch,mass,East,True,2.0
314,2022-09-19,branch,affluent,South,True,16.0
315,2023-03-15,branch,mass,South,True,2.0
316,2024-02-21,digital,affluent,South,True,
317,2025-03-20,branch,mass,East,True,14.0
318,2024-08-09,digital,mass,West,True,
319,2022-09-17,branch,mass,West,True,17.0
320,2022-11-28,branch,mass,West,True,10.0
321,2021-02-25,digital,affluent,West,True,
322,2021-07-08,branch,mass,West,True,4.0
323,2023-01-04,branch,mass,North,True,25.0
324,2024-04-08,branch,mass,South,False,5.0
325,2024-06-02,branch,mass,South,True,11.0
326,2022-12-02,digital,mass,East,True,
327,2024-02-07,branch,affluent,North,True,1.0
328,2026-01-04,branch,mass,West,True,19.0
329,2022-01-18,branch,SME,West,True,7.0
